BMI088 initialized
motor_driver: init (motors disabled by default)
motor_driver: VELOCITY CLOSED-LOOP mode (ESP-side position control)
motor_driver: enabled=NO
motor_driver: encoder LEFT_ID=8 pos=0
motor_driver: encoder RIGHT_ID=7 pos=0
BALANCER: controller initialized (Kp=26.0000 Ki=1.1500 Kd=0.8500 deadband=0.0200)
TUNING: loaded persisted gyro_bias rad/s = 0.002814, 0.006259, -0.000865
TUNING: synced persisted gyro_bias from imu calibration (rad/s = 0.001816, 0.006141, -0.000304)
IMU tasks started
BOOT DEBUG: setup complete, entering main loop

== Main Menu ==
  1 - Calibration (BMI088)
  2 - Motor control
  3 - Madgwick tuning
  5 - Balancer (PID)
  4 - Log channels
  0 - Exit menu
RX: TUNING START 10000
timestamp_ms,pitch_deg,pitch_rad,pitch_rate_deg,pitch_rate_rad,ax,ay,az,gx,gy,gz,temp_C,left_cmd,right_cmd
TUNING: capture started (stream)
TUNING: warmup requested 200 samples (~1.0 s)
TUNING: auto-capture started
TUNING: warmup complete (gyro_bias rad/s = 0.002450, 0.005891, -0.000176) - persisting deferred
3598,-0.940146,-0.016409,0.000000,0.000000,-0.127270,0.238719,-9.776044,-0.003632,0.000795,0.000186,24.750,0.000000,0.000000
3604,-0.936234,-0.016340,0.000000,0.000000,-0.134452,0.231536,-9.761678,-0.002594,0.000738,0.002305,24.750,0.000000,0.000000
3610,-0.931938,-0.016265,0.715996,0.012496,-0.163184,0.202805,-9.783226,-0.000438,0.000731,0.001216,24.750,0.000000,0.000000
3616,-0.928720,-0.016209,0.536188,0.009358,-0.112904,0.260267,-9.768861,0.003828,0.001789,0.001204,24.750,0.000000,0.000000
3622,-0.924137,-0.016129,0.763843,0.013332,-0.184732,0.238719,-9.768861,0.000594,0.000706,0.000127,24.750,0.000000,0.000000
3628,-0.919049,-0.016040,0.848028,0.014801,-0.220647,0.253085,-9.740129,-0.001543,0.000699,0.000125,24.750,0.000000,0.000000
3634,-0.914150,-0.015955,0.816581,0.014252,-0.156001,0.195622,-9.783226,-0.000462,-0.001439,0.001190,24.750,0.000000,0.000000
3640,-0.909226,-0.015869,0.820619,0.014322,-0.134452,0.267450,-9.754495,0.004869,-0.002490,-0.002018,24.750,0.000000,0.000000
3646,-0.904128,-0.015780,0.849665,0.014829,-0.148818,0.288999,-9.790409,0.002690,-0.002465,-0.001998,24.750,0.000000,0.000000
3652,-0.899773,-0.015704,0.725903,0.012669,-0.148818,0.231536,-9.747313,0.000532,-0.000310,-0.001978,24.750,0.000000,0.000000
3658,-0.894709,-0.015616,0.843982,0.014730,-0.199098,0.274633,-9.797592,-0.004800,-0.000307,0.001238,24.750,0.000000,0.000000
3664,-0.890330,-0.015539,0.729816,0.012738,-0.177550,0.281816,-9.811958,-0.002621,0.000762,0.001225,24.750,0.000000,0.000000
3670,-0.886092,-0.015465,0.706213,0.012326,-0.170367,0.267450,-9.804775,0.001666,0.000754,-0.003048,24.750,0.000000,0.000000
3676,-0.881789,-0.015390,0.717232,0.012518,-0.148818,0.253085,-9.804775,-0.001546,-0.000319,-0.001952,24.750,0.000000,0.000000
3682,-0.877886,-0.015322,0.650540,0.011354,-0.120087,0.245902,-9.776044,0.001665,-0.000316,-0.000868,24.750,0.000000,0.000000
3688,-0.873344,-0.015243,0.757057,0.013213,-0.191915,0.181256,-9.819140,0.000583,0.000753,0.001272,24.750,0.000000,0.000000
3694,-0.869008,-0.015167,0.722577,0.012611,-0.177550,0.296182,-9.768861,-0.001553,0.000745,0.000194,24.750,0.000000,0.000000
3700,-0.864328,-0.015085,0.779949,0.013613,-0.177550,0.231536,-9.761678,0.000593,-0.000327,-0.001939,24.750,0.000000,0.000000
3706,-0.859716,-0.015005,0.768779,0.013418,-0.148818,0.274633,-9.797592,0.004848,-0.001389,-0.002985,24.750,0.000000,0.000000
3712,-0.856010,-0.014940,0.617581,0.010779,-0.134452,0.274633,-9.797592,0.001604,0.000755,0.002372,24.750,0.000000,0.000000
3718,-0.852120,-0.014872,0.648397,0.011317,-0.148818,0.288999,-9.725763,-0.000543,0.000748,-0.000848,24.750,0.000000,0.000000
3724,-0.848524,-0.014810,0.599242,0.010459,-0.127270,0.267450,-9.776044,-0.004799,0.000740,0.002356,24.750,0.000000,0.000000
3730,-0.843802,-0.014727,0.787010,0.013736,-0.156001,0.253085,-9.790409,-0.000489,-0.001398,0.002333,24.750,0.000000,0.000000
3736,-0.838600,-0.014636,0.867114,0.015134,-0.191915,0.274633,-9.754495,-0.001550,-0.001384,0.000179,24.750,0.000000,0.000000
3742,-0.833908,-0.014554,0.782003,0.013649,-0.184732,0.260267,-9.761678,0.002727,-0.000305,-0.003019,24.750,0.000000,0.000000
3748,-0.829144,-0.014471,0.793858,0.013855,-0.163184,0.231536,-9.747313,0.000569,-0.001367,-0.000858,24.750,0.000000,0.000000
3754,-0.824790,-0.014395,0.725672,0.012665,-0.134452,0.245902,-9.768861,0.000563,-0.001353,0.001281,24.750,0.000000,0.000000
3760,-0.820929,-0.014328,0.643532,0.011232,-0.127270,0.224353,-9.783226,-0.000508,-0.000275,0.000203,24.750,0.000000,0.000000
3766,-0.816525,-0.014251,0.734041,0.012811,-0.141635,0.281816,-9.811958,-0.000503,-0.001337,-0.000864,24.750,0.000000,0.000000
3772,-0.812046,-0.014173,0.746483,0.013029,-0.148818,0.238719,-9.754495,0.000568,-0.001324,-0.004052,24.750,0.000000,0.000000
3778,-0.807873,-0.014100,0.695585,0.012140,-0.127270,0.245902,-9.725763,0.002693,-0.001310,-0.002946,24.750,0.000000,0.000000
3784,-0.803378,-0.014022,0.749115,0.013075,-0.177550,0.260267,-9.790409,0.001600,-0.000232,-0.001851,24.750,0.000000,0.000000
3790,-0.798869,-0.013943,0.751543,0.013117,-0.177550,0.224353,-9.783226,-0.002677,-0.000230,0.001363,24.750,0.000000,0.000000
3796,-0.794687,-0.013870,0.696990,0.012165,-0.156001,0.267450,-9.732946,0.001611,-0.000227,-0.001846,24.750,0.000000,0.000000
3802,-0.790586,-0.013798,0.683428,0.011928,-0.177550,0.245902,-9.768861,0.001595,0.000840,-0.001828,24.750,0.000000,0.000000
3808,-0.786402,-0.013725,0.697435,0.012173,-0.156001,0.245902,-9.783226,0.000514,-0.000234,0.002452,24.750,0.000000,0.000000
3814,-0.782523,-0.013658,0.646369,0.011281,-0.134452,0.224353,-9.747313,-0.000557,-0.000231,0.002427,24.750,0.000000,0.000000
3820,-0.778257,-0.013583,0.710980,0.012409,-0.163184,0.296182,-9.804775,-0.001616,-0.000229,0.003468,24.750,0.000000,0.000000
3826,-0.774618,-0.013520,0.606624,0.010588,-0.120087,0.253085,-9.740129,0.000530,-0.000227,0.000238,24.750,0.000000,0.000000
3832,-0.769615,-0.013432,0.833861,0.014554,-0.191915,0.281816,-9.732946,0.003721,-0.001290,-0.000830,24.750,0.000000,0.000000
3838,-0.766066,-0.013370,0.591452,0.010323,-0.141635,0.267450,-9.790409,0.002619,0.000854,0.001309,24.750,0.000000,0.000000
3844,-0.762064,-0.013301,0.667002,0.011641,-0.148818,0.209987,-9.797592,-0.001669,-0.000220,0.000231,24.750,0.000000,0.000000
3850,-0.757797,-0.013226,0.711087,0.012411,-0.141635,0.238719,-9.783226,-0.001652,-0.001283,0.001294,24.750,0.000000,0.000000
3856,-0.753258,-0.013147,0.756470,0.013203,-0.163184,0.253085,-9.754495,0.000495,-0.001270,-0.001915,24.750,0.000000,0.000000
3862,-0.748733,-0.013068,0.754256,0.013164,-0.163184,0.224353,-9.811958,-0.002706,-0.001258,0.000234,24.750,0.000000,0.000000
3868,-0.744011,-0.012985,0.787028,0.013736,-0.177550,0.245902,-9.740129,-0.001614,-0.001245,-0.000833,24.750,0.000000,0.000000
3874,-0.740317,-0.012921,0.615651,0.010745,-0.156001,0.245902,-9.732946,-0.001597,0.000898,0.002371,24.750,0.000000,0.000000
3880,-0.737152,-0.012866,0.527516,0.009207,-0.120087,0.253085,-9.740129,0.000549,0.000889,0.000217,24.750,0.000000,0.000000
3886,-0.733089,-0.012795,0.677123,0.011818,-0.184732,0.260267,-9.776044,0.001609,0.000880,0.000215,24.750,0.000000,0.000000
3892,-0.729960,-0.012740,0.521487,0.009102,-0.170367,0.260267,-9.776044,-0.002668,0.003002,0.001278,24.750,0.000000,0.000000
